ааб	AA P
аад	AA T
аалиншье	AA LJ I N SH J EH
аалихан	AA LJ I H EH NG
аба	A V EH
абаа	A V AA
абааб	A V AA P
абаабди	A V AA B DJ I
абаад	A V AA T
абаахайн	A V AA H EE NG
абаба	A V EH V EH
абабабди	A V EH V EH B DJ I
абагал	A V EH L
абадаг	A V EH D EH K
абадагби	A V EH D EH G BJ I
абажа	A V EH ZH EH
абалга	A V EH L Gr EH
абанги	A V EH N GJ I
абанхай	A V EH N H EE
абанхайб	A V EH N H EE P
абань	A V EH NJ
абаралга	A V EH R EH L Gr EH
абарга	A V EH R Gr EH
абари	A V EH RJ I
абарыт	A V EH R Y T
абатайм	A V EH T EH M
абашахаар	A V EH SH EH H AA R
абашни	A V EH SH NJ I I
абаһаа	A V EH HH AA
абаһан	A V EH HH EH NG
абаһандаа	A V EH HH EH N D AA
абгазы	A B G A Z Y
абгамни	A V Gr EH M NJ I
абгань	A V Gr EH NJ
абида	A VJ I D EH
абын	A V Y NG
абьяастай	A VJ J AA S T EE
августын	A F G Uh S T Y NG
автобус	A F T O V Uh S
автобусшье	A F T O V Uh S SH J EH
автор	A F T EH R
агаар	A Gr AA R
агаараар	A Gr AA R AA R
агаараарнь	A Gr AA R AA R NJ
агаарай	A Gr AA R EE
аглаг	A G L EH K
агууехэ	A Gr UUh J EH H EH
агын	A Gr Y NG
агынхидта	A Gr Y N HJ I D T EH
адабашьян	A D EH V EH SH J A NG
адаглааб	A D EH G L AA P
адли	A D LJ I
адлихан	A D LJ I H EH NG
адляар	A D LJ I R EH R
адууһа	A D UUh HH EH
ажа	A ZH EH
ажабайдал	A ZH EH B EE D EH L EH L
ажабайдалаар	A ZH EH B EE D EH L AA R
ажабайдалаймни	A ZH EH B EE D EH L N EE M NJ I
ажабайдалда	A ZH EH B EE D EH L D EH
ажабайдалдаа	A ZH EH B EE D EH L D EH
ажабайдалдань	A ZH EH B EE D EH L D EH NJ
ажал	A ZH EH L
ажалаа	A ZH EH L AA
ажалаар	A ZH EH L AA R
ажалай	A ZH EH L EE
ажалаймни	A ZH EH L EE M NJ I
ажалайнгаа	A ZH EH L EE N G AA
ажалгүйдэнэ	A ZH EH L Gr UIs D EH N EH
ажалда	A ZH EH L D EH
ажалдаа	A ZH EH L D AA
ажалдань	A ZH EH L D EH NJ
ажалжа	A ZH EH L ZH EH
ажаллаа	A ZH EH L AA
ажаллагшад	A ZH EH L L EH K SH EH T
ажаллажа	A ZH EH L L EH ZH EH
ажаллана	A ZH EH L L EH N EH
ажаллаха	A ZH EH L L EH H EH
ажалтай	A ZH EH L T EE
ажалтайт	A ZH EH L T EH T EE
ажалшад	A ZH EH L SH EH T
ажалыень	A ZH EH L Y J EH NJ
ажалһаа	A ZH EH L HH AA
ажалһаань	A ZH EH L HH AA NJ
ажахы	A ZH EH H Y
ажахын	A ZH EH H Y NG
ажахынуудые	A ZH EH H Y N UUh D Y J EH
ажаябуулгатай	A ZH EH J A V UUh L Gr EH T EE
ажаһуугаад	A ZH EH HH UUh Gr AA T
ажаһуугшад	A ZH EH HH UUh G SH EH T
ажаһуудаг	A ZH EH HH UUh D EH K
ажаһуудал	A ZH EH HH UUh D EH L
ажаһуудалда	A ZH EH HH UUh D EH L D EH
ажаһууна	A ZH EH HH UUh N EH
ажаһуунаб	A ZH EH HH UUh N EH P
ажаһууһан	A ZH EH HH UUh HH EH NG
азатай	A Z EH T EE
ази	A ZJ I
азиин	A ZJ I NG
айл	EE L
айлай	EE L EE
айлайхи	A L EE HJ I
айлнууд	EE L N UUh T
айлшаар	EE L SH AA R
айлшадаа	EE L SH EH D AA
айлшадай	EE L SH EH D EE
айлшалжа	EE L SH EH L ZH EH
айлшалхадаа	EE L SH EH L H EH D AA
айлшан	EE L SH EH NG
аймаг	EE M EH Gr EH
аймагаар	EE M EH Gr AA R
аймагай	EE M EH Gr EE
аймагта	EE M EH K T EH
аймагтаа	EE M EH K T AA
аймагтамнай	EE M EH K T EH M N EE
аймагуудай	EE M EH Gr UUh D EE
аймагуудта	EE M EH Gr UUh T T EH
аймшагтай	EE M SH EH K T EE
айн	EE NG
айхабтар	EE H EH B T EH R
академи	A K A DJ I M BJ I
академидэ	A K A DJ I M EH D EH
академик	A K A DJ E MJ I K
академическэ	A K A DJ E MJ I CH E S K EH
алаабхиһаа	A L AA P HJ I HH AA
алаабшанаар	A L AA P SH EH N AA R
алангуагай	A L EH N G Uh A Gr EE
аласдурна	A L EH S D Uh R N
албан	A L V EH NG
алгадажа	A L Gr EH D EH ZH EH
алдаа	A L D AA
алдарта	A L D EH R T EH
алдаха	A L D EH H EH
алдаһан	A L D EH HH EH NG
алдуу	A L D Uh
алдуугүй	A L D Uh Gr UIs
александр	A LJ E K S A N D R
алексей	A LJ E K SJ E J
али	A LJ I
алина	A LJ I N EH
алиханаар	A LJ I H EH N AA R
алишье	A LJ I SH J EH
алтаар	A L T AA R
алтай	A L T EE
алтан	A L T EH NG
алтанхан	A L T EH N H EH NG
алташаһаа	A L T EH SH EH HH AA
алташынадагай	A L T EH SH Y N UUs D EH Gr EE
алха	A L H EH
алхам	A L H EH M
альга	A LJ G EH
альгаа	A LJ G AA
аман	A M EH NG
амараад	A M EH R AA T
амаралтада	A M EH R EH L T EH D EH
амаралтадаа	A M EH R EH L T EH D AA
амаралтын	A M EH R EH L T Y NG
амардагби	A M EH R D EH G BJ I
амаржа	A M EH R ZH EH
амбаар	A M B AA R
амжалта	A M ZH EH L T EH
амжалтатайгаар	A M ZH EH L T EH T EE Gr AA R
амидардаг	A MJ I D EH R D EH K
амидарна	A MJ I D EH R N EH
амилжа	A MJ I L ZH EH
амилхада	A MJ I L H EH D EH
амисхаалаар	A MJ I S H AA L AA R
амитад	A MJ I T EH T
амитан	A MJ I T EH NG
амтархан	A M T EH R H EH NG
амтатай	A M T EH T EE
амударья	A M Uh D A RJ J EH
анастасия	A N EH S T EH SJ I J A
ангарск	A N G A R S K
андреевна	A N D RJ E J E V N A
андрей	A N D RJ E J
анна	A N EH
