ааб	AA P <SPACE>
аад	AA T <SPACE>
аалиншье	AA LJ I N SH J EH <SPACE>
аалихан	AA LJ I H EH NG <SPACE>
аба	A V EH <SPACE>
абаа	A V AA <SPACE>
абааб	A V AA P <SPACE>
абаабди	A V AA B DJ I <SPACE>
абаад	A V AA T <SPACE>
абаахайн	A V AA H EE NG <SPACE>
абаба	A V EH V EH <SPACE>
абабабди	A V EH V EH B DJ I <SPACE>
абагал	A V EH L <SPACE>
абадаг	A V EH D EH K <SPACE>
абадагби	A V EH D EH G BJ I <SPACE>
абажа	A V EH ZH EH <SPACE>
абалга	A V EH L Gr EH <SPACE>
абанги	A V EH N GJ I <SPACE>
абанхай	A V EH N H EE <SPACE>
абанхайб	A V EH N H EE P <SPACE>
абань	A V EH NJ <SPACE>
абаралга	A V EH R EH L Gr EH <SPACE>
абарга	A V EH R Gr EH <SPACE>
абари	A V EH RJ I <SPACE>
абарыт	A V EH R Y T <SPACE>
абатайм	A V EH T EH M <SPACE>
абашахаар	A V EH SH EH H AA R <SPACE>
абашни	A V EH SH NJ I I <SPACE>
абаһаа	A V EH HH AA <SPACE>
абаһан	A V EH HH EH NG <SPACE>
абаһандаа	A V EH HH EH N D AA <SPACE>
абгазы	A B G A Z Y <SPACE>
абгамни	A V Gr EH M NJ I <SPACE>
абгань	A V Gr EH NJ <SPACE>
абида	A VJ I D EH <SPACE>
абын	A V Y NG <SPACE>
абьяастай	A VJ J AA S T EE <SPACE>
августын	A F G Uh S T Y NG <SPACE>
автобус	A F T O V Uh S <SPACE>
автобусшье	A F T O V Uh S SH J EH <SPACE>
автор	A F T EH R <SPACE>
агаар	A Gr AA R <SPACE>
агаараар	A Gr AA R AA R <SPACE>
агаараарнь	A Gr AA R AA R NJ <SPACE>
агаарай	A Gr AA R EE <SPACE>
аглаг	A G L EH K <SPACE>
агууехэ	A Gr UUh J EH H EH <SPACE>
агын	A Gr Y NG <SPACE>
агынхидта	A Gr Y N HJ I D T EH <SPACE>
адабашьян	A D EH V EH SH J A NG <SPACE>
адаглааб	A D EH G L AA P <SPACE>
адли	A D LJ I <SPACE>
адлихан	A D LJ I H EH NG <SPACE>
адляар	A D LJ I R EH R <SPACE>
адууһа	A D UUh HH EH <SPACE>
ажа	A ZH EH <SPACE>
ажабайдал	A ZH EH V EE D EH L EH L <SPACE>
ажабайдалаар	A ZH EH V EE D EH L AA R <SPACE>
ажабайдалаймни	A ZH EH V EE D EH L N EE M NJ I <SPACE>
ажабайдалда	A ZH EH V EE D EH L D EH <SPACE>
ажабайдалдаа	A ZH EH V EE D EH L D EH <SPACE>
ажабайдалдань	A ZH EH V EE D EH L D EH NJ <SPACE>
ажал	A ZH EH L <SPACE>
ажалаа	A ZH EH L AA <SPACE>
ажалаар	A ZH EH L AA R <SPACE>
ажалай	A ZH EH L EE <SPACE>
ажалаймни	A ZH EH L EE M NJ I <SPACE>
ажалайнгаа	A ZH EH L EE N G AA <SPACE>
ажалгүйдэнэ	A ZH EH L Gr UIs D EH N EH <SPACE>
ажалда	A ZH EH L D EH <SPACE>
ажалдаа	A ZH EH L D AA <SPACE>
ажалдань	A ZH EH L D EH NJ <SPACE>
ажалжа	A ZH EH L ZH EH <SPACE>
ажаллаа	A ZH EH L AA <SPACE>
ажаллагшад	A ZH EH L L EH K SH EH T <SPACE>
ажаллажа	A ZH EH L L EH ZH EH <SPACE>
ажаллана	A ZH EH L L EH N EH <SPACE>
ажаллаха	A ZH EH L L EH H EH <SPACE>
ажалтай	A ZH EH L T EE <SPACE>
ажалтайт	A ZH EH L T EH T EE <SPACE>
ажалшад	A ZH EH L SH EH T <SPACE>
ажалыень	A ZH EH L Y J EH NJ <SPACE>
ажалһаа	A ZH EH L HH AA <SPACE>
ажалһаань	A ZH EH L HH AA NJ <SPACE>
ажахы	A ZH EH H Y <SPACE>
ажахын	A ZH EH H Y NG <SPACE>
ажахынуудые	A ZH EH H Y N UUh D Y J EH <SPACE>
ажаябуулгатай	A ZH EH J A V UUh L Gr EH T EE <SPACE>
ажаһуугаад	A ZH EH HH UUh Gr AA T <SPACE>
ажаһуугшад	A ZH EH HH UUh G SH EH T <SPACE>
ажаһуудаг	A ZH EH HH UUh D EH K <SPACE>
ажаһуудал	A ZH EH HH UUh D EH L <SPACE>
ажаһуудалда	A ZH EH HH UUh D EH L D EH <SPACE>
ажаһууна	A ZH EH HH UUh N EH <SPACE>
ажаһуунаб	A ZH EH HH UUh N EH P <SPACE>
ажаһууһан	A ZH EH HH UUh HH EH NG <SPACE>
азатай	A Z EH T EE <SPACE>
ази	A ZJ I <SPACE>
азиин	A ZJ I NG <SPACE>
айл	EE L <SPACE>
айлай	EE L EE <SPACE>
айлайхи	A L EE HJ I <SPACE>
айлнууд	EE L N UUh T <SPACE>
айлшаар	EE L SH AA R <SPACE>
айлшадаа	EE L SH EH D AA <SPACE>
айлшадай	EE L SH EH D EE <SPACE>
айлшалжа	EE L SH EH L ZH EH <SPACE>
айлшалхадаа	EE L SH EH L H EH D AA <SPACE>
айлшан	EE L SH EH NG <SPACE>
аймаг	EE M EH Gr EH <SPACE>
аймагаар	EE M EH Gr AA R <SPACE>
аймагай	EE M EH Gr EE <SPACE>
аймагта	EE M EH K T EH <SPACE>
аймагтаа	EE M EH K T AA <SPACE>
аймагтамнай	EE M EH K T EH M N EE <SPACE>
аймагуудай	EE M EH Gr UUh D EE <SPACE>
аймагуудта	EE M EH Gr UUh T T EH <SPACE>
аймшагтай	EE M SH EH K T EE <SPACE>
айн	EE NG <SPACE>
айхабтар	EE H EH B T EH R <SPACE>
академи	A K A DJ I M BJ I <SPACE>
академидэ	A K A DJ I M EH D EH <SPACE>
академик	A K A DJ E MJ I K <SPACE>
академическэ	A K A DJ E MJ I CH E S K EH <SPACE>
алаабхиһаа	A L AA P HJ I HH AA <SPACE>
алаабшанаар	A L AA P SH EH N AA R <SPACE>
алангуагай	A L EH N G Uh A Gr EE <SPACE>
аласдурна	A L EH S D Uh R N <SPACE>
албан	A L V EH NG <SPACE>
алгадажа	A L Gr EH D EH ZH EH <SPACE>
алдаа	A L D AA <SPACE>
алдарта	A L D EH R T EH <SPACE>
алдаха	A L D EH H EH <SPACE>
алдаһан	A L D EH HH EH NG <SPACE>
алдуу	A L D Uh <SPACE>
алдуугүй	A L D Uh Gr UIs <SPACE>
александр	A LJ E K S A N D R <SPACE>
алексей	A LJ E K SJ E J <SPACE>
али	A LJ I <SPACE>
алина	A LJ I N EH <SPACE>
алиханаар	A LJ I H EH N AA R <SPACE>
алишье	A LJ I SH J EH <SPACE>
алтаар	A L T AA R <SPACE>
алтай	A L T EE <SPACE>
алтан	A L T EH NG <SPACE>
алтанхан	A L T EH N H EH NG <SPACE>
алташаһаа	A L T EH SH EH HH AA <SPACE>
алташынадагай	A L T EH SH Y N UUs D EH Gr EE <SPACE>
алха	A L H EH <SPACE>
алхам	A L H EH M <SPACE>
альга	A LJ G EH <SPACE>
альгаа	A LJ G AA <SPACE>
